,track_id,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,time_signature,time_sig_confidence
0,10.0,-17.238174438476562,94.44202423095705,-48.61454772949219,32.37076568603516,-4.550583839416504,2.220590114593506,-2.271864891052246,2.682117223739624,-5.288854122161865,0.5125930309295654,-9.244275093078613,2.2399396896362305,-6.41642951965332,2.677108764648437,-5.104512691497803,-0.9110984802246094,-3.2079956531524663,3.043154001235962,-1.0365115404129028,3.882601022720337,4.0,1.0
1,141.0,-208.5692596435547,116.6339340209961,-1.7237118482589722,26.018598556518555,9.688706398010254,-4.179668426513672,7.235490798950195,-5.119751930236816,-0.05203258991241455,2.222994804382324,-3.3266000747680664,-3.39680290222168,-4.810870170593262,3.130366563796997,-2.1266653537750244,5.0538330078125,-0.1700904667377472,3.0874364376068115,-8.665927886962889,-1.0981682538986206,3.0,1.0
2,213.0,-264.02078247070307,160.38706970214844,0.4993031322956085,15.058126449584961,12.012089729309082,-8.957159996032715,-10.78533172607422,0.9594125151634216,-8.229310989379883,-9.305219650268556,-11.673168182373047,-5.3708930015563965,-4.490613460540772,-11.134264945983887,-18.51815795898437,-2.583430767059326,-4.884124755859375,1.371706485748291,4.428988456726074,-3.584379911422729,4.0,0.815
6,574.0,33.92192840576172,85.6325912475586,-17.074590682983402,21.03207015991211,5.007997035980225,-1.2213780879974363,-13.018933296203613,3.7915830612182617,-7.774296760559082,4.61290168762207,-2.9520583152771,1.5562762022018433,-8.585412979125978,2.6197359561920166,-6.2999420166015625,-3.649816513061523,-8.637075424194336,-0.3867015540599823,-6.258680820465088,1.3757655620574951,4.0,1.0
9,625.0,-123.76173400878906,113.14462280273438,-25.14369010925293,18.920225143432614,-0.3973759710788727,1.0618927478790283,-9.984304428100586,-9.836134910583496,-12.855828285217285,-1.5005139112472534,-9.175344467163086,-5.295554161071777,-9.4109468460083,-9.337569236755373,-11.47132968902588,-10.478099822998047,-8.498181343078612,-6.319760799407959,-7.152688026428223,-4.253356456756592,4.0,1.0
11,704.0,-22.425111770629886,51.88977813720703,-0.10326704382896423,23.61080741882324,19.49285316467285,16.00221061706543,-0.68548583984375,7.313847064971924,1.0554680824279783,8.751132011413574,-0.3142792284488678,6.190935134887695,-5.246189594268799,7.997677803039551,1.4580199718475342,0.4174923896789551,-11.18924617767334,2.8077845573425293,2.041694164276123,0.6938598155975342,4.0,1.0
12,705.0,-18.24869155883789,52.04079818725586,2.9825801849365234,18.696134567260746,4.443696975708008,21.305389404296875,3.658303022384644,17.524675369262695,-0.18552537262439728,3.6193146705627437,0.06830804795026779,10.33651065826416,-3.3152883052825928,4.247804641723634,-3.0290002822875977,1.8737548589706419,-6.6237473487854,1.565286636352539,0.6042421460151672,-0.2865442335605621,4.0,1.0
13,706.0,-9.32295036315918,54.26066970825195,19.054656982421875,28.724328994750977,-0.7105796933174133,17.127628326416016,-14.484021186828613,10.639237403869627,1.194566249847412,9.356447219848633,4.181075096130371,2.168628215789795,-4.302093982696533,9.450809478759766,-7.575989246368407,4.092486381530762,-2.397510290145874,-3.867720603942871,-1.5242251157760618,0.15723104774951935,4.0,0.88
14,708.0,-56.93998718261719,83.5766372680664,24.23236846923828,44.96278381347656,5.955745220184326,2.751175165176392,-0.7330106496810913,14.105125427246096,-0.4892587661743164,-0.090745709836483,-3.480168342590332,8.24606990814209,-1.7017147541046145,3.467067241668701,-2.974761247634888,2.8565828800201416,-3.7896850109100337,-2.534355878829956,-5.162961959838867,2.8011391162872314,4.0,0.9840000000000001
17,1039.0,8.944629669189453,91.53312683105469,-27.034671783447266,40.59139633178711,7.235734939575195,15.02296257019043,2.408914566040039,5.456166744232178,2.2778849601745605,7.593081474304199,3.837474584579468,8.688296318054201,1.0289937257766724,7.164013862609862,-3.0910336971282963,5.4235687255859375,1.1826794147491455,3.178602695465088,-0.6445550918579102,2.669088125228882,4.0,0.98
